age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000
25,52915,0.055809159955625,0.0469270273960349,-0.00888213255959013,0.840848123020442,0.000739112232226044,0.000415539124209308,0.00085714396766849,0.0161186752846535,0.0543780919651506,0.0572756082324023,0.046119272362574,0.0477482216640957,-0.0105621038657861,-0.00720216125339412,0.814699252409297,0.867836276879014,55.809159955625,46.9270273960349,-8.88213255959013,54.3780919651506,57.2756082324023,46.119272362574,47.7482216640957,-10.5621038657861,-7.20216125339412,-11.5851901980927,-6.17907492108754
26,49138,0.0570538957100124,0.0487502112039244,-0.00830368450608798,0.854458939170551,0.000814152631946826,0.000461576549484598,0.000945416208755382,0.0173123426376283,0.0554789925712998,0.0586707291357325,0.0478534604560067,0.0496628901149944,-0.0101566662256489,-0.00645070278652703,0.825952182063162,0.883949573091183,57.0538957100124,48.7502112039244,-8.30368450608798,55.4789925712998,58.6707291357325,47.8534604560067,49.6628901149945,-10.1566662256489,-6.45070278652703,-11.2851142320553,-5.32225478012068
27,45064,0.0588372026826911,0.0511778633479487,-0.00765933933474237,0.869821490731822,0.000909850732155917,0.000525897300359053,0.0010610829051067,0.0187580678485924,0.0570790578029214,0.0606460187612328,0.0501568887436252,0.0522184779835458,-0.00973902361336263,-0.0055796550561221,0.838423103737608,0.902395726413224,58.8372026826911,51.1778633479487,-7.65933933474237,57.0790578029214,60.6460187612328,50.1568887436252,52.2184779835458,-9.73902361336263,-5.5796550561221,-11.0055312930605,-4.31314737642425
28,41621,0.0603699183211606,0.0534841723724875,-0.00688574594867306,0.88594077745738,0.000947053625517913,0.000558308922672102,0.00111087769096567,0.0190510283678786,0.0585402122817432,0.0622530312878875,0.0524004094057605,0.0545890588280509,-0.00906302621419479,-0.00470846568315132,0.853470327792945,0.919646571886684,60.3699183211606,53.4841723724875,-6.88574594867306,58.5402122817433,62.2530312878875,52.4004094057605,54.5890588280509,-9.06302621419479,-4.70846568315132,-10.3889689091924,-3.38252298815374
29,38086,0.062439660705756,0.0563746901961837,-0.00606497050957235,0.902866696567215,0.00093773341907871,0.000562517343367621,0.00110774602578271,0.0182760108387265,0.060626790077556,0.0643030292859318,0.0552822596511878,0.0574873945898167,-0.00823611282412384,-0.00389382819502085,0.871098097363484,0.935793883877638,62.439660705756,56.3746901961837,-6.06497050957235,60.626790077556,64.3030292859318,55.2822596511878,57.4873945898167,-8.23611282412384,-3.89382819502085,-9.55831756614397,-2.57162345300072
30,34128,0.0642919481445511,0.0591483961706713,-0.00514355197387983,0.919996949504232,0.000921512030162162,0.000559193594495822,0.0010955977193332,0.0174623346641816,0.062509271218114,0.0661218787797384,0.0580618656514901,0.0602539586508574,-0.00729088404531712,-0.00299621990244253,0.889042292282485,0.952029385378394,64.2919481445511,59.1483961706713,-5.14355197387983,62.509271218114,66.1218787797384,58.0618656514901,60.2539586508574,-7.29088404531712,-2.99621990244253,-8.59858857878656,-1.6885153689731
31,30628,0.0664604587818257,0.062277913887472,-0.00418254489435371,0.937067167891753,0.000966337685933529,0.000585544998247939,0.00114953599400188,0.0176246221896446,0.0645913536604347,0.0683796970871254,0.0611400909320122,0.0634354811169252,-0.00643559404152986,-0.00192949574717757,0.905250172244947,0.970002441383762,66.4604587818257,62.277913887472,-4.18254489435371,64.5913536604347,68.3796970871254,61.1400909320122,63.4354811169252,-6.43559404152986,-1.92949574717757,-7.80767925512218,-0.557410533585248
32,26572,0.0680332955972838,0.0648710303506221,-0.0031622652466617,0.953518858392802,0.00108275848877864,0.000658654823677514,0.00128757775046316,0.019185592269477,0.0659415654466973,0.0701863916937512,0.0635919826147596,0.0661739860222696,-0.0056858712648646,-0.000638659228458805,0.918329384626905,0.990056757990052,68.0332955972838,64.8710303506221,-3.1622652466617,65.9415654466973,70.1863916937512,63.5919826147596,66.1739860222696,-5.6858712648646,-0.638659228458805,-7.22272300502688,0.898192511703472
33,22940,0.0709149989887456,0.0687310456386427,-0.00218395335010282,0.969203223841977,0.00126964373049526,0.000779966005485306,0.0015099664482941,0.0214840085609603,0.0684665145573305,0.0734441419889836,0.0672179969210549,0.0702755865150861,-0.00514343320662313,0.000775526506417481,0.929239428009101,1.01088574245956,70.9149989887456,68.7310456386427,-2.18395335010282,68.4665145573305,73.4441419889836,67.2179969210549,70.2755865150861,-5.14343320662313,0.775526506417481,-6.94572791295266,2.57782121274702
34,19498,0.0742220983954024,0.0729973892902727,-0.00122470910512965,0.983499400695932,0.00146768802772098,0.000913673013959098,0.00174820495857582,0.0236666253607538,0.071396265360504,0.077150484315312,0.0712267349426389,0.074808515648672,-0.00465112786153258,0.00220170965127329,0.938920954475647,1.03019435934247,74.2220983954024,72.9973892902727,-1.22470910512965,71.396265360504,77.150484315312,71.226734942639,74.808515648672,-4.65112786153258,2.20170965127329,-6.73778385708788,4.28836564682859
35,15814,0.0770229492058609,0.0767116548079063,-0.000311294397954576,0.995958420170038,0.00162038074797095,0.00101642287723646,0.00193071186297624,0.0250958810980653,0.0739064687497385,0.0802594560369352,0.0747430700177673,0.078727676568196,-0.00409542011391224,0.00347283131800309,0.948155470079934,1.04617144129746,77.0229492058609,76.7116548079063,-0.311294397954576,73.9064687497385,80.2594560369352,74.7430700177673,78.727676568196,-4.09542011391224,3.47283131800309,-6.3999161999153,5.77732740400615
36,12274,0.0794805174726646,0.0799800071563805,0.000499489683715868,1.0062844291859,0.00172827719988249,0.0010812810443656,0.00205462261490174,0.0258047811949047,0.0761584290814616,0.0829345089293799,0.0778862086792393,0.0821250797431419,-0.00352749664331304,0.00452647601074478,0.956655743155985,1.05848771584376,79.4805174726646,79.9800071563805,0.499489683715868,76.1584290814616,82.9345089293799,77.8862086792393,82.1250797431419,-3.52749664331304,4.52647601074478,-5.97989250053614,6.97887186796788
37,9366,0.0818868227985608,0.083081396694002,0.00119457389544121,1.01458810898525,0.00187727921203977,0.00115420353656668,0.00221793272107549,0.0269779345808825,0.0782819085304394,0.0856423200866069,0.0808470267175509,0.085371782454455,-0.00315249435799966,0.00554164214888209,0.962334617095641,1.06967889610061,81.8868227985608,83.081396694002,1.19457389544121,78.2819085304394,85.6423200866069,80.8470267175509,85.371782454455,-3.15249435799966,5.54164214888209,-5.79981702315256,8.18896481403499
38,6808,0.0860985003540026,0.0879067224141128,0.00180822206011014,1.02100178345355,0.00222561282205587,0.0013340586982341,0.00260821871509444,0.0301284415905146,0.0818352930860341,0.0905618935825935,0.0853269133136306,0.0905568082692077,-0.0033037926852783,0.00692023680549858,0.962456532888425,1.08310828197805,86.0985003540026,87.9067224141128,1.80822206011014,81.8352930860341,90.5618935825935,85.3269133136306,90.5568082692077,-3.3037926852783,6.92023680549858,-6.41696039074293,10.0334045109632
39,5101,0.0883150741648809,0.0905989505227509,0.00228387635787002,1.02586054962266,0.00278431126895112,0.00163808404442315,0.00324125963967482,0.0364639140284584,0.0830080381625514,0.0939266560164463,0.0874391739582766,0.0938611670681729,-0.00406887580043589,0.00863662851617592,0.955102955727974,1.10186013032489,88.3150741648809,90.5989505227509,2.28387635787002,83.0080381625514,93.9266560164463,87.4391739582766,93.8611670681729,-4.06887580043589,8.63662851617592,-7.93764063095594,12.505393346696
40,3501,0.0928328611462701,0.0955428138079465,0.00270995266167644,1.02919173909125,0.00367845298205511,0.00215032182117868,0.00426806287475354,0.0456460811252195,0.0858701798345983,0.100298159682265,0.0914105915796043,0.0998413070037779,-0.00565529685659298,0.0110752021799459,0.941114093017654,1.1255124577056,92.8328611462701,95.5428138079465,2.70995266167644,85.8701798345983,100.298159682265,91.4105915796043,99.8413070037779,-5.65529685659298,11.0752021799459,-10.7496531809606,16.1695585043134
