reason,n,field,contrast,year
observed_edited,3445468,prepreg_diabetes,broad,2019
item_unknown,3881,prior_living4,broad,2019
observed_edited,3441587,prior_living4,broad,2019
item_unknown,46888,education4,broad,2019
observed_edited,3398580,education4,broad,2019
item_unknown,75069,bmi,broad,2019
observed_edited,3370399,bmi,broad,2019
observed_edited,3445468,prior_preterm,broad,2019
observed_edited,3445468,prior_cesarean,broad,2019
item_unknown,6247,nativity,broad,2019
observed_edited,3439221,nativity,broad,2019
item_unknown,29096,race_ethnicity,broad,2020
observed_edited,3296457,race_ethnicity,broad,2020
observed_edited,3325553,prepreg_diabetes,broad,2020
item_unknown,3138,prior_living4,broad,2020
observed_edited,3322415,prior_living4,broad,2020
item_unknown,44815,education4,broad,2020
observed_edited,3280738,education4,broad,2020
item_unknown,60811,bmi,broad,2020
observed_edited,3264742,bmi,broad,2020
observed_edited,3325553,prior_preterm,broad,2020
observed_edited,3325553,prior_cesarean,broad,2020
item_unknown,5933,nativity,broad,2020
observed_edited,3319620,nativity,broad,2020
item_unknown,30893,race_ethnicity,broad,2021
observed_edited,3342975,race_ethnicity,broad,2021
observed_edited,3373868,prepreg_diabetes,broad,2021
item_unknown,4053,prior_living4,broad,2021
observed_edited,3369815,prior_living4,broad,2021
item_unknown,48548,education4,broad,2021
observed_edited,3325320,education4,broad,2021
item_unknown,62765,bmi,broad,2021
observed_edited,3311103,bmi,broad,2021
observed_edited,3373868,prior_preterm,broad,2021
observed_edited,3373868,prior_cesarean,broad,2021
item_unknown,6508,nativity,broad,2021
observed_edited,3367360,nativity,broad,2021
item_unknown,29662,race_ethnicity,broad,2022
observed_edited,3351363,race_ethnicity,broad,2022
observed_edited,3381025,prepreg_diabetes,broad,2022
item_unknown,4547,prior_living4,broad,2022
observed_edited,3376478,prior_living4,broad,2022
item_unknown,53416,education4,broad,2022
observed_edited,3327609,education4,broad,2022
item_unknown,65588,bmi,broad,2022
observed_edited,3315437,bmi,broad,2022
observed_edited,3381025,prior_preterm,broad,2022
observed_edited,3381025,prior_cesarean,broad,2022
item_unknown,6737,nativity,broad,2022
observed_edited,3374288,nativity,broad,2022
item_unknown,27830,race_ethnicity,broad,2023
observed_edited,3290066,race_ethnicity,broad,2023
observed_edited,3317896,prepreg_diabetes,broad,2023
item_unknown,3419,prior_living4,broad,2023
observed_edited,3314477,prior_living4,broad,2023
item_unknown,56509,education4,broad,2023
observed_edited,3261387,education4,broad,2023
item_unknown,71622,bmi,broad,2023
observed_edited,3246274,bmi,broad,2023
observed_edited,3317896,prior_preterm,broad,2023
observed_edited,3317896,prior_cesarean,broad,2023
item_unknown,6634,nativity,broad,2023
observed_edited,3311262,nativity,broad,2023
item_unknown,29964,race_ethnicity,broad,2024
observed_edited,3315878,race_ethnicity,broad,2024
observed_edited,3345842,prepreg_diabetes,broad,2024
item_unknown,5419,prior_living4,broad,2024
observed_edited,3340423,prior_living4,broad,2024
item_unknown,58704,education4,broad,2024
observed_edited,3287138,education4,broad,2024
item_unknown,75464,bmi,broad,2024
observed_edited,3270378,bmi,broad,2024
observed_edited,3345842,prior_preterm,broad,2024
observed_edited,3345842,prior_cesarean,broad,2024
item_unknown,6141,nativity,broad,2024
observed_edited,3339701,nativity,broad,2024
item_unknown,31992,race_ethnicity,prepregnancy,2016
observed_edited,3682365,race_ethnicity,prepregnancy,2016
observed_edited,3714357,prepreg_diabetes,prepregnancy,2016
item_unknown,5935,prior_living4,prepregnancy,2016
observed_edited,3708422,prior_living4,prepregnancy,2016
item_unknown,45524,education4,prepregnancy,2016
observed_edited,3668833,education4,prepregnancy,2016
item_unknown,97386,bmi,prepregnancy,2016
observed_edited,3616971,bmi,prepregnancy,2016
observed_edited,3714357,prior_preterm,prepregnancy,2016
observed_edited,3714357,prior_cesarean,prepregnancy,2016
item_unknown,6904,nativity,prepregnancy,2016
observed_edited,3707453,nativity,prepregnancy,2016
item_unknown,28182,race_ethnicity,prepregnancy,2017
observed_edited,3595775,race_ethnicity,prepregnancy,2017
observed_edited,3623957,prepreg_diabetes,prepregnancy,2017
item_unknown,4317,prior_living4,prepregnancy,2017
observed_edited,3619640,prior_living4,prepregnancy,2017
item_unknown,43227,education4,prepregnancy,2017
observed_edited,3580730,education4,prepregnancy,2017
