contrast,A,variable,level,kind,n,sum,sum_sq,denominator,mean,sd,pct,display
prepregnancy,1,age,"",continuous,1984054,54714545,1568833985,1984054,27.5771450777045,5.49749933446482,,27.6 (5.5)
prepregnancy,1,year_factor,2016,categorical,338011,0,0,1984054,,,17.0363810662411,"338,011 (17.0%)"
prepregnancy,1,year_factor,2017,categorical,313689,0,0,1984054,,,15.8105071736959,"313,689 (15.8%)"
prepregnancy,1,year_factor,2018,categorical,289079,0,0,1984054,,,14.5701175472039,"289,079 (14.6%)"
prepregnancy,1,year_factor,2019,categorical,260125,0,0,1984054,,,13.1107822670149,"260,125 (13.1%)"
prepregnancy,1,year_factor,2020,categorical,229543,0,0,1984054,,,11.5693927685436,"229,543 (11.6%)"
prepregnancy,1,year_factor,2021,categorical,192003,0,0,1984054,,,9.67730717006694,"192,003 (9.7%)"
prepregnancy,1,year_factor,2022,categorical,149204,0,0,1984054,,,7.52015822150002,"149,204 (7.5%)"
prepregnancy,1,year_factor,2023,categorical,118439,0,0,1984054,,,5.96954518375004,"118,439 (6.0%)"
prepregnancy,1,year_factor,2024,categorical,93961,0,0,1984054,,,4.73580860198362,"93,961 (4.7%)"
prepregnancy,1,race_ethnicity,Non-Hispanic White,categorical,1484156,0,0,1984054,,,74.8042139982077,"1,484,156 (74.8%)"
prepregnancy,1,race_ethnicity,Non-Hispanic Black,categorical,221159,0,0,1984054,,,11.1468236247602,"221,159 (11.1%)"
prepregnancy,1,race_ethnicity,Non-Hispanic AIAN,categorical,36188,0,0,1984054,,,1.82394229189327,"36,188 (1.8%)"
prepregnancy,1,race_ethnicity,Non-Hispanic Asian,categorical,12688,0,0,1984054,,,0.639498723321039,"12,688 (0.6%)"
prepregnancy,1,race_ethnicity,Non-Hispanic NHOPI,categorical,3167,0,0,1984054,,,0.159622671560351,"3,167 (0.2%)"
prepregnancy,1,race_ethnicity,Non-Hispanic multiple race,categorical,77297,0,0,1984054,,,3.89591210723095,"77,297 (3.9%)"
prepregnancy,1,race_ethnicity,Hispanic,categorical,149399,0,0,1984054,,,7.52998658302647,"149,399 (7.5%)"
prepregnancy,1,prepreg_diabetes,No,categorical,1963954,0,0,1984054,,,98.9869227349659,"1,963,954 (99.0%)"
prepregnancy,1,prepreg_diabetes,Yes,categorical,20100,0,0,1984054,,,1.01307726503412,"20,100 (1.0%)"
prepregnancy,1,prior_living4,0,categorical,651631,0,0,1984054,,,32.8434105120123,"651,631 (32.8%)"
prepregnancy,1,prior_living4,1,categorical,574766,0,0,1984054,,,28.9692720057015,"574,766 (29.0%)"
prepregnancy,1,prior_living4,2,categorical,395897,0,0,1984054,,,19.9539427858314,"395,897 (20.0%)"
prepregnancy,1,prior_living4,3 or more,categorical,361760,0,0,1984054,,,18.2333746964548,"361,760 (18.2%)"
prepregnancy,1,bmi,"",continuous,1984054,54749127.1999883,1616910090.91974,1984054,27.5945751476463,7.31383021570927,,27.6 (7.3)
prepregnancy,1,education4,Less than high school,categorical,425136,0,0,1984054,,,21.4276425944052,"425,136 (21.4%)"
prepregnancy,1,education4,High school or GED,categorical,842314,0,0,1984054,,,42.4541872348232,"842,314 (42.5%)"
prepregnancy,1,education4,Some college or associate,categorical,613641,0,0,1984054,,,30.9286440792438,"613,641 (30.9%)"
prepregnancy,1,education4,Bachelor or higher,categorical,102963,0,0,1984054,,,5.18952609152775,"102,963 (5.2%)"
prepregnancy,1,prior_preterm,No,categorical,1861203,0,0,1984054,,,93.8080818364823,"1,861,203 (93.8%)"
prepregnancy,1,prior_preterm,Yes,categorical,122851,0,0,1984054,,,6.19191816351773,"122,851 (6.2%)"
prepregnancy,1,prior_cesarean,No,categorical,1641145,0,0,1984054,,,82.716750652956,"1,641,145 (82.7%)"
prepregnancy,1,prior_cesarean,Yes,categorical,342909,0,0,1984054,,,17.283249347044,"342,909 (17.3%)"
prepregnancy,1,nativity,Born in 50 US states,categorical,1926044,0,0,1984054,,,97.076188450516,"1,926,044 (97.1%)"
prepregnancy,1,nativity,Born elsewhere including territories,categorical,58010,0,0,1984054,,,2.92381154948404,"58,010 (2.9%)"
