"model_id","label","contrast_group","family","covariance","fit_n","reference_n","fitted_null_ages","n_isolated_roots","has_zero_intervals","unique_regular_interior_root","full_95_fixed_null_age_set","fixed_null_age_set_components","full_95_simultaneous_outer_set","simultaneous_outer_set_components","simultaneous_strict_negative_intervals","simultaneous_strict_positive_intervals","simultaneous_reversal","omnibus_age_interaction_statistic","omnibus_df","omnibus_p","omnibus_log_p","age_knots","comparison","formula"
"all_years_shared_augmented_live","all_years shared_augmented live","within_prepregnancy_smokers","original_16_models","model",1331577,1331577,"31.426112",1,FALSE,TRUE,"[30.599, 32.367] U [42.466, 44.000]",2,"[15.000, 16.782] U [29.993, 33.249] U [40.596, 44.000]",3,"(16.782, 29.993)","(33.249, 40.596)",TRUE,175.229475175833,4,7.88694637402371e-37,-83.1304394056739,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
"all_years_shared_augmented_inclusive","all_years shared_augmented inclusive","within_prepregnancy_smokers","original_16_models","HC0",1340522,1331577,"31.385371",1,FALSE,TRUE,"[30.558, 32.323] U [42.340, 44.000]",2,"[15.000, 16.632] U [29.949, 33.198] U [40.513, 44.000]",3,"(16.632, 29.949)","(33.198, 40.513)",TRUE,173.467993914827,4,1.88395985064791e-36,-82.259687482555,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
"all_years_shared_augmented_inclusive","all_years shared_augmented inclusive","within_prepregnancy_smokers","original_16_models","model",1340522,1331577,"31.385371",1,FALSE,TRUE,"[30.560, 32.317] U [42.399, 44.000]",2,"[15.000, 16.649] U [29.951, 33.184] U [40.573, 44.000]",3,"(16.649, 29.951)","(33.184, 40.573)",TRUE,174.736756983583,4,1.00621830616479e-36,-82.8868642955101,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
"reporting_years_shared_core_live","reporting_years shared_core live","within_prepregnancy_smokers","original_16_models","HC0",793271,793271,"32.284766; 42.330019",2,FALSE,FALSE,"[15.000, 15.947] U [30.975, 34.798] U [38.135, 44.000]",3,"[15.000, 17.307] U [30.108, 44.000]",2,"(17.307, 30.108)","Empty set",FALSE,95.4166535873654,4,9.29266206142022e-20,-43.82247679682,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"reporting_years_shared_core_live","reporting_years shared_core live","within_prepregnancy_smokers","original_16_models","model",793271,793271,"32.284766; 42.330019",2,FALSE,FALSE,"[15.000, 15.977] U [30.980, 34.777] U [38.170, 44.000]",3,"[15.000, 17.330] U [30.114, 44.000]",2,"(17.330, 30.114)","Empty set",FALSE,95.9084996528512,4,7.30338703835178e-20,-44.0633636414746,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"reporting_years_shared_core_inclusive","reporting_years shared_core inclusive","within_prepregnancy_smokers","original_16_models","HC0",799136,793271,"32.192485; 42.377695",2,FALSE,FALSE,"[15.000, 15.790] U [30.912, 34.514] U [38.315, 44.000]",3,"[15.000, 17.240] U [30.051, 44.000]",2,"(17.240, 30.051)","Empty set",FALSE,96.0858782087536,4,6.69565613538975e-20,-44.1502428817475,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"reporting_years_shared_core_inclusive","reporting_years shared_core inclusive","within_prepregnancy_smokers","original_16_models","model",799136,793271,"32.192485; 42.377695",2,FALSE,FALSE,"[15.000, 15.822] U [30.917, 34.496] U [38.348, 44.000]",3,"[15.000, 17.263] U [30.057, 44.000]",2,"(17.263, 30.057)","Empty set",FALSE,96.5800641653382,4,5.25611230952985e-20,-44.3923102110559,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"reporting_years_shared_augmented_live","reporting_years shared_augmented live","within_prepregnancy_smokers","original_16_models","HC0",775128,775128,"30.253556",1,FALSE,TRUE,"[15.000, 16.060] U [28.859, 31.750] U [39.628, 44.000]",3,"[15.000, 17.460] U [27.844, 34.050] U [37.859, 44.000]",3,"(17.460, 27.844)","(34.050, 37.859)",TRUE,97.6026928597888,4,3.18482534375996e-20,-44.8933044094844,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
"reporting_years_shared_augmented_live","reporting_years shared_augmented live","within_prepregnancy_smokers","original_16_models","model",775128,775128,"30.253556",1,FALSE,TRUE,"[15.000, 16.078] U [28.857, 31.742] U [39.670, 44.000]",3,"[15.000, 17.473] U [27.842, 33.991] U [37.920, 44.000]",3,"(17.473, 27.842)","(33.991, 37.920)",TRUE,98.0627210462907,4,2.54210214786129e-20,-45.1187105038686,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
"reporting_years_shared_augmented_inclusive","reporting_years shared_augmented inclusive","within_prepregnancy_smokers","original_16_models","HC0",780311,775128,"30.187418",1,FALSE,TRUE,"[15.000, 15.906] U [28.797, 31.649] U [39.630, 44.000]",3,"[15.000, 17.394] U [27.786, 33.740] U [37.928, 44.000]",3,"(17.394, 27.786)","(33.740, 37.928)",TRUE,97.7414862309207,4,2.97544398024364e-20,-44.9613085949614,"21,27,35","Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
