"age","target_n","risk0","risk1","rd","rr","se_risk0","se_risk1","se_rd","se_log_rr","risk0_lower","risk0_upper","risk1_lower","risk1_upper","rd_lower","rd_upper","rr_lower","rr_upper","risk0_per1000","risk1_per1000","rd_per1000","risk0_lower_per1000","risk0_upper_per1000","risk1_lower_per1000","risk1_upper_per1000","rd_lower_per1000","rd_upper_per1000","rd_bonferroni_lower_per1000","rd_bonferroni_upper_per1000","sparse_age_arm","contrast","covariance"
25,130505,0.0794962242224151,0.0701014996430743,-0.00939472457934078,0.881821751017304,0.000542065026559404,0.000315745439042226,0.000633820727513449,0.00826158075476669,0.0784402616661917,0.0805651593989497,0.0694851699500515,0.0707228806473965,-0.0106369903779221,-0.00815245878075944,0.867657922512819,0.896216792806079,79.4962242224151,70.1014996430743,-9.39472457934078,78.4402616661917,80.5651593989497,69.4851699500515,70.7228806473965,-10.6369903779221,-8.15245878075944,-11.3874444521788,-7.40200470650271,FALSE,"primary","HC0"
26,131877,0.080711849195656,0.0721645058521461,-0.00854734334350986,0.894100514005199,0.000574027160906641,0.0003281336015615,0.000667904168019831,0.00853157119636782,0.0795939056713228,0.0818440986337789,0.0715240127929616,0.0728102847077419,-0.00985641145795292,-0.0072382752290668,0.87927405396791,0.909176980188178,80.711849195656,72.1645058521461,-8.54734334350986,79.5939056713228,81.8440986337789,71.5240127929616,72.8102847077419,-9.85641145795292,-7.2382752290668,-10.6472208814155,-6.44746580560424,FALSE,"primary","HC0"
27,130884,0.0821979906897571,0.0747008873649504,-0.00749710332480671,0.90879213394518,0.000630442503983082,0.000361722412487631,0.000733423424527478,0.009156335251334,0.0809707715256358,0.0834421212081011,0.0739950098632647,0.0754129502159977,-0.0089345868222986,-0.00605961982731483,0.892628343161034,0.925248620042572,82.1979906897571,74.7008873649504,-7.49710332480671,80.9707715256358,83.4421212081011,73.9950098632647,75.4129502159977,-8.9345868222986,-6.05961982731483,-9.8029721135958,-5.19123453601763,FALSE,"primary","HC0"
28,126880,0.0841167382690389,0.0778719403951482,-0.00624479787389065,0.925760342086526,0.000654351935824196,0.000381865335099002,0.000764725179308226,0.00928498766181374,0.0828430792812717,0.0854081554433282,0.0771267833594195,0.0786236833922721,-0.00774363168340571,-0.00474596406437559,0.909065501005527,0.942761781227193,84.1167382690389,77.8719403951482,-6.24479787389065,82.8430792812717,85.4081554433282,77.1267833594195,78.6236833922721,-7.74363168340571,-4.74596406437559,-8.64907876266108,-3.84051698512023,FALSE,"primary","HC0"
29,120282,0.0870828590056196,0.0822461457909273,-0.00483671321469237,0.944458493095866,0.00064674387498035,0.000383229331877381,0.000760016357912387,0.008866283330071,0.0858235818621078,0.0883588274475181,0.0814981457505259,0.0830003906911254,-0.00632631790386195,-0.00334710852552279,0.92818785668341,0.96101434505748,87.0828590056196,82.2461457909273,-4.83671321469237,85.8235818621078,88.3588274475181,81.4981457505259,83.0003906911254,-6.32631790386195,-3.34710852552279,-7.22618966181895,-2.44723676756579,FALSE,"primary","HC0"
30,111577,0.0893970126709254,0.0861862045339396,-0.00321080813698577,0.96408372001417,0.000626904546543515,0.00037240758944343,0.000738901527577527,0.00834867537056868,0.0881758934596126,0.0906333618587995,0.0854590928177735,0.0869189147657158,-0.00465902851915935,-0.00176258775481218,0.948436684907934,0.979988895396411,89.3970126709254,86.1862045339396,-3.21080813698577,88.1758934596126,90.6333618587995,85.4590928177735,86.9189147657158,-4.65902851915935,-1.76258775481218,-5.53389997377473,-0.887716300196797,FALSE,"primary","HC0"
31,102027,0.0919375822154676,0.0904717944599536,-0.00146578775551398,0.984056707603223,0.000640558864813095,0.00037613832465873,0.000753704234649567,0.00823317387569978,0.0906897905737988,0.0932007824178037,0.0897372767638548,0.091211721889021,-0.00294302091042246,1.14453993944957e-05,0.968304690628421,1.00006497247311,91.9375822154676,90.4717944599536,-1.46578775551398,90.6897905737987,93.2007824178037,89.7372767638548,91.211721889021,-2.94302091042246,0.0114453993944957,-3.8354190115327,0.903843500504741,FALSE,"primary","HC0"
32,91764,0.0951086272246432,0.0954570871557661,0.000348459931122855,1.0036638099118,0.000710116549520266,0.000413604018785847,0.000833171022357319,0.00875190035841607,0.093725908357945,0.0965095727599775,0.0946495113161968,0.0962708207560184,-0.00128452526565991,0.00198144512790562,0.986594371653257,1.02102857290645,95.1086272246432,95.4570871557661,0.348459931122855,93.725908357945,96.5095727599775,94.6495113161968,96.2708207560184,-1.28452526565991,1.98144512790562,-2.27101333892574,2.96793320117145,FALSE,"primary","HC0"
33,81398,0.0981358392413481,0.100306949211009,0.00217110996966052,1.02212351763071,0.00081774355925368,0.000479300315014866,0.000959107256182516,0.0097183839185082,0.0965447140398081,0.0997502920510696,0.0993714385981581,0.101250276866681,0.000291294290231762,0.00405092564908928,1.00283868219864,1.04177920520904,98.1358392413481,100.306949211009,2.17110996966052,96.5447140398081,99.7502920510696,99.3714385981581,101.250276866681,0.291294290231762,4.05092564908928,-0.844304336962214,5.18652427628326,FALSE,"primary","HC0"
34,70747,0.101609984671699,0.105532771919595,0.00392278724789651,1.03860631669782,0.000929742670818317,0.000552581168174016,0.00109262059127253,0.0106482114608104,0.0998021597568607,0.103446793529818,0.104454624129344,0.106620723112826,0.0017812902402355,0.00606428425555752,1.01715511075008,1.06050991602367,101.609984671699,105.532771919595,3.92278724789651,99.8021597568607,103.446793529818,104.454624129344,106.620723112826,1.7812902402355,6.06428425555752,0.487609647689927,7.35796484810308,FALSE,"primary","HC0"
35,59784,0.10528426801708,0.110798711722461,0.00551444370538108,1.05237671125269,0.00101352749796087,0.000610614334233285,0.00119471896617647,0.0111973098179373,0.103314261488806,0.107287344304448,0.109607575659887,0.112001163934363,0.00317283756002827,0.00785604985073389,1.02953250111579,1.0757278096483,105.28426801708,110.798711722461,5.51444370538108,103.314261488806,107.287344304448,109.607575659887,112.001163934363,3.17283756002827,7.85604985073389,1.75827082713471,9.27061658362745,FALSE,"primary","HC0"
36,50300,0.109904400020247,0.116793753470187,0.00688935344993995,1.06268496483008,0.001068487312134,0.000645618685493769,0.00126034759342426,0.0112876053518389,0.107827625755811,0.112016151187454,0.115534300373883,0.11806510330448,0.00441911755882667,0.00935958934105322,1.03943301982812,1.08645705200191,109.904400020247,116.793753470187,6.88935344993995,107.827625755811,112.016151187454,115.534300373883,118.06510330448,4.41911755882667,9.35958934105322,2.92684546135914,10.8518614385208,FALSE,"primary","HC0"
37,39582,0.114789866114679,0.122803920186501,0.00801405407182197,1.06981499624554,0.00114259162720836,0.000681003397508422,0.00134182109408492,0.011490997071426,0.112569368673422,0.117048387063179,0.121475404062007,0.124144912483364,0.0053841330537194,0.0106439750899245,1.04598998644985,1.0941826795841,114.789866114679,122.803920186501,8.01405407182197,112.569368673422,117.048387063179,121.475404062007,124.144912483364,5.3841330537194,10.6439750899245,3.79539500324554,12.2327131403984,FALSE,"primary","HC0"
38,30385,0.12005436704852,0.128943614456928,0.00888924740840763,1.07404351567499,0.00132111968289303,0.000769192224543162,0.00153881209474723,0.0125967780493834,0.117489038741114,0.122667922588014,0.127443519212104,0.130458726850476,0.00587323112372841,0.0119052636930868,1.04785087544998,1.10089088112667,120.05436704852,128.943614456928,8.88924740840763,117.489038741114,122.667922588014,127.443519212104,130.458726850476,5.87323112372841,11.9052636930868,4.05125251701886,13.7272422997964,FALSE,"primary","HC0"
39,22837,0.12516782622314,0.13467539230568,0.00950756608254022,1.07595854597323,0.00166780199359737,0.000957338211867571,0.00193161436690899,0.0151669251922668,0.121935403726361,0.128473400421235,0.132810056095616,0.136562801692977,0.00572167149137846,0.013293460673702,1.0444446490276,1.1084233077652,125.16782622314,134.67539230568,9.50756608254022,121.935403726361,128.473400421235,132.810056095616,136.562801692977,5.72167149137846,13.293460673702,3.43460859075894,15.5805235743215,FALSE,"primary","HC0"
40,15853,0.131396015255977,0.141359934563057,0.00996391930707957,1.075831213661,0.00221385280651293,0.00126675824111922,0.00255709932291586,0.0191299681549422,0.127117417815143,0.135796220191116,0.138895300683144,0.143860995833449,0.00495209672927273,0.0149757418848864,1.03624078646374,1.11693422552596,131.396015255977,141.359934563057,9.96391930707957,127.117417815143,135.796220191116,138.895300683144,143.860995833449,4.95209672927273,14.9757418848864,1.92444944375443,18.0033891704047,FALSE,"primary","HC0"
41,10370,0.137569275602966,0.147758526276985,0.0101892506740188,1.07406632497961,0.00292270757201373,0.00167618883725625,0.00337380429403291,0.0241156667324402,0.131940465903529,0.14339855119233,0.144503354856097,0.151074076535599,0.00357671576682768,0.0168017855812099,1.02448076245401,1.12605186230327,137.569275602966,147.758526276985,10.1892506740188,131.940465903529,143.39855119233,144.503354856097,151.074076535599,3.57671576682768,16.8017855812099,-0.417923518849691,20.7964248668872,FALSE,"primary","HC0"
42,6233,0.143543731926597,0.153784893421315,0.0102411614947183,1.07134523644652,0.00377115620624067,0.00216949963527004,0.00435418814237405,0.0298431428585741,0.136309613835202,0.151094609671411,0.149580686476319,0.158085300395124,0.00170710955375386,0.0187752134356828,1.01047811896648,1.13587874305541,143.543731926597,153.784893421315,10.2411614947183,136.309613835202,151.094609671411,149.580686476319,158.085300395124,1.70710955375386,18.7752134356828,-3.44832019109556,23.9306431805323,FALSE,"primary","HC0"
43,3273,0.149521269520078,0.159704699718091,0.0101834301980132,1.06810690031391,0.0047445911502577,0.0027364305321016,0.00548030789348622,0.0360824752181737,0.140458359063622,0.159060739513832,0.154414051411429,0.165141218052564,-0.000557775897410384,0.0209246362934368,0.995179135405232,1.14637888789101,149.521269520078,159.704699718091,10.1834301980132,140.458359063622,159.060739513832,154.414051411429,165.141218052564,-0.557775897410384,20.9246362934368,-7.04654978617654,27.4134101822029,FALSE,"primary","HC0"
