age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000,model_id
45,28818,0.123764642196752,0.148302800804318,0.0245381586075663,1.19826469153086,0.000602891770323817,0.00357264825743495,0.00362287029921048,0.024575470135842,0.122587832003373,0.12495114065128,0.141436177474909,0.155442437343857,0.017437463300454,0.0316388539146787,1.14191580595842,1.25739416468137,123.764642196752,148.302800804318,24.5381586075663,122.587832003373,124.95114065128,141.436177474909,155.442437343857,17.437463300454,31.6388539146787,13.1132083017007,35.963108913432,supp_3lvl_continued_vs_none
15,40526,0.0803587280680871,0.0741138793570324,-0.0062448487110547,0.922287860184105,0.000506576176749034,0.00340425862136414,0.00344133608726431,0.0463583000997892,0.0793714381266573,0.0813572135000788,0.0677118089843834,0.0810686222695277,-0.0129897435007907,0.00050004607868133,0.842182544155372,1.01001250019503,80.3587280680871,74.1138793570324,-6.2448487110547,79.3714381266573,81.3572135000788,67.7118089843834,81.0686222695277,-12.9897435007907,0.50004607868133,-17.0973194140068,4.60762199189739,supp_3lvl_stopped_vs_none
16,99677,0.0796963944012162,0.0746065887285955,-0.00508980567262063,0.936135057164607,0.000395038287035062,0.00267710783765976,0.00270548493397531,0.0362160449170229,0.0789255608633439,0.0804740985975179,0.0695262446453186,0.0800262304807335,-0.010392458703928,0.000212847358686709,0.871989702004348,1.00499907652374,79.6963944012162,74.6065887285955,-5.08980567262063,78.9255608633439,80.4740985975179,69.5262446453186,80.0262304807335,-10.392458703928,0.212847358686709,-13.6217232879635,3.44211194272221,supp_3lvl_stopped_vs_none
17,199221,0.0810626546205525,0.0770119845148669,-0.00405067010568562,0.950030379283204,0.000298895041105611,0.00203579769848334,0.00205714206378298,0.0266847964807956,0.0804787578491081,0.081650411559835,0.0731154376246183,0.0810980212110582,-0.00808259446178266,-1.87457495885836e-05,0.901619618590757,1.0010404642389,81.0626546205525,77.0119845148669,-4.05067010568562,80.4787578491081,81.650411559835,73.1154376246183,81.0980212110582,-8.08259446178266,-0.0187457495885836,-10.5379975311108,2.43665731973957,supp_3lvl_stopped_vs_none
18,378353,0.0834138766710808,0.0803683301894688,-0.00304554648161205,0.963488731094212,0.000216580518522816,0.00147079234159493,0.00148670805338785,0.0184845780908575,0.0829903672864504,0.0838393496794052,0.0775324052334247,0.0832986187480466,-0.00595944072177789,-0.000131652241446215,0.929207139776934,0.999035086157847,83.4138766710808,80.3683301894688,-3.04554648161205,82.9903672864504,83.8393496794052,77.5324052334247,83.2986187480466,-5.95944072177789,-0.131652241446215,-7.73397422714523,1.64288126392113,supp_3lvl_stopped_vs_none
19,653131,0.0859796003816109,0.0839267151396855,-0.00205288524192536,0.976123577769449,0.000160795699150446,0.00103464130493361,0.00104685946389284,0.0124666081588624,0.0856649694135385,0.0862952778647779,0.0819209832511072,0.0859769559566803,-0.00410469208803024,-1.07839582048127e-06,0.95256190018886,1.00026805490385,85.9796003816109,83.9267151396855,-2.05288524192536,85.6649694135385,86.2952778647779,81.9209832511072,85.9769559566803,-4.10469208803024,-0.00107839582048127,-5.35422268003552,1.2484521961848,supp_3lvl_stopped_vs_none
20,857770,0.0856661855122828,0.0846017294857231,-0.00106445602655969,0.987574373480105,0.000132357748633341,0.000795300321515735,0.000806271605681,0.00952702568030721,0.085407124825037,0.0859259581685735,0.0830559458725853,0.0861735785283165,-0.00264471933545173,0.000515807282332349,0.969304866037852,1.00618822552835,85.6661855122828,84.6017294857231,-1.06445602655969,85.407124825037,85.9259581685735,83.0559458725853,86.1735785283164,-2.64471933545173,0.515807282332349,-3.60708445848104,1.47817240536166,supp_3lvl_stopped_vs_none
21,999703,0.0843926642553416,0.0841960035221169,-0.000196660733224649,0.997669693983951,0.000126373113399379,0.000751830110436928,0.000762615825723193,0.00905703944359877,0.0841453072472335,0.0846406812040057,0.0827341046947509,0.0856813209663888,-0.00169136028568238,0.00129803881923308,0.980115853428391,1.01553792320813,84.3926642553416,84.1960035221169,-0.196660733224649,84.1453072472335,84.6406812040057,82.7341046947509,85.6813209663888,-1.69136028568238,1.29803881923308,-2.60161790578834,2.20829643933904,supp_3lvl_stopped_vs_none
22,1151517,0.0833574033435215,0.0838802054330029,0.000522802089481467,1.00627181352239,0.000121690493285065,0.000737583647189706,0.000747804806237981,0.00891665617446138,0.0831192043405095,0.0835962227282165,0.0824458389650527,0.0853372056427295,-0.000942868398210929,0.00198847257717386,0.988838657757758,1.02401231459309,83.3574033435215,83.8802054330029,0.522802089481467,83.1192043405095,83.5962227282165,82.4458389650527,85.3372056427295,-0.942868398210929,1.98847257717386,-1.83544759768463,2.88105177664756,supp_3lvl_stopped_vs_none
23,1274332,0.0826067690676733,0.0837453804240236,0.00113861135635032,1.01378351155966,0.000110095099800829,0.00067857970949894,0.000687656021512396,0.00821422510594878,0.0823912429303868,0.082822808109351,0.0824249484898968,0.085085003941526,-0.000209169679566075,0.00248639239226672,0.99759269976391,1.03023709832025,82.6067690676733,83.7453804240236,1.13861135635032,82.3912429303868,82.822808109351,82.4249484898968,85.085003941526,-0.209169679566075,2.48639239226672,-1.02995533923924,3.30717805193988,supp_3lvl_stopped_vs_none
24,1393370,0.0821431435224674,0.0838491716129222,0.00170602809045479,1.02076896521483,9.5264782671717e-05,0.000600858153910801,0.000608563027000689,0.00726161057997557,0.0819566210905356,0.0823300523856302,0.0826789996181829,0.0850343700361644,0.000513266475210768,0.00289878970569882,1.0063437725543,1.03540093232855,82.1431435224674,83.8491716129222,1.70602809045479,81.9566210905356,82.3300523856302,82.6789996181829,85.0343700361644,0.513266475210768,2.89878970569882,-0.213113851498046,3.62517003240764,supp_3lvl_stopped_vs_none
25,1518689,0.0819501133165892,0.0842273841323028,0.00227727081571362,1.02778850112038,8.4803280524549e-05,0.000561546667789915,0.000568152614935046,0.00674977343302521,0.0817840553757925,0.0821164782753381,0.0831332823761301,0.0853345449915893,0.00116371215271868,0.00339082947870856,1.01428110926835,1.04147577371058,81.9501133165892,84.2273841323028,2.27727081571362,81.7840553757926,82.1164782753381,83.1332823761301,85.3345449915893,1.16371215271868,3.39082947870856,0.485565660495909,4.06897597093133,supp_3lvl_stopped_vs_none
26,1632495,0.0817554618722241,0.0846539226926035,0.00289846082037945,1.03545280956163,8.37649379186009e-05,0.000588476946536041,0.000594692200816323,0.00703012668089405,0.0815914357062945,0.0819197883731111,0.0835076370021824,0.085814469822053,0.0017328855248926,0.0040640361158663,1.02128336060645,1.04981884772157,81.7554618722241,84.6539226926035,2.89846082037945,81.5914357062945,81.9197883731111,83.5076370021824,85.814469822053,1.7328855248926,4.0640361158663,1.02306140486821,4.7738602358907,supp_3lvl_stopped_vs_none
27,1737293,0.0814843897609949,0.0850995534482506,0.00361516368725566,1.04436633443362,8.79221851217432e-05,0.000639542848528961,0.000645840839812546,0.0075957620241626,0.0813122314127334,0.081656880213057,0.0838544166020953,0.0863614362089018,0.00234933890147797,0.00488098847303335,1.02893357618924,1.06003056537219,81.4843897609949,85.0995534482506,3.61516368725566,81.3122314127334,81.656880213057,83.8544166020953,86.3614362089018,2.34933890147797,4.88098847303335,1.57846380816672,5.6518635663446,supp_3lvl_stopped_vs_none
28,1831931,0.0810047122742992,0.0854591355891975,0.0044544233148983,1.05498968133872,8.85077063085424e-05,0.000653954424113064,0.000660181497945209,0.00773312458925058,0.0808314096436162,0.0811783536507994,0.0841860915570096,0.0867496068161121,0.00316049135566599,0.00574835527413061,1.03912014481055,1.07110157885939,81.0047122742992,85.4591355891975,4.4544233148983,80.8314096436162,81.1783536507994,84.1860915570096,86.7496068161121,3.16049135566599,5.74835527413061,2.37249926464464,6.53634736515196,supp_3lvl_stopped_vs_none
29,1897021,0.0806411207284988,0.0860469918789379,0.00540587115043902,1.06703616097598,8.39658149730424e-05,0.00063026018241772,0.000636095940740271,0.00740155188174355,0.0804767038754836,0.0808058439721062,0.0848197098709858,0.0872903380426223,0.00415914601587596,0.00665259628500207,1.05166864340918,1.08262823653226,80.6411207284989,86.0469918789379,5.40587115043902,80.4767038754836,80.8058439721062,84.8197098709858,87.2903380426223,4.15914601587596,6.65259628500207,3.39990242605376,7.41183987482427,supp_3lvl_stopped_vs_none
30,1917984,0.0803336097396882,0.0867651536315823,0.00643154389189413,1.08006043687984,7.71439429160974e-05,0.000598271629547245,0.000603496494799884,0.00696522422517392,0.0801825401915037,0.080484939008505,0.085599711049432,0.0879449376453605,0.00524871249729019,0.00761437528649806,1.06541608288627,1.09490608040465,80.3336097396882,86.7651536315823,6.43154389189413,80.1825401915037,80.484939008505,85.599711049432,87.9449376453605,5.24871249729019,7.61437528649806,4.52837957923425,8.33470820455401,supp_3lvl_stopped_vs_none
31,1910781,0.0798906134160397,0.0873678913404173,0.00747727792437758,1.09359394808297,7.24605766256908e-05,0.000594904321232954,0.000599562198380918,0.006872593202076,0.0797487085189938,0.0800327488587361,0.0862089143030166,0.0885409397412464,0.00630215760905932,0.00865239823969584,1.07896196704205,1.10842435583004,79.8906134160397,87.3678913404173,7.47727792437758,79.7487085189938,80.0327488587361,86.2089143030166,88.5409397412464,6.30215760905932,8.65239823969584,5.58652066396162,9.36803518479354,supp_3lvl_stopped_vs_none
32,1820180,0.0796736135641449,0.0882061863388589,0.00853257277471399,1.10709408539434,7.3890115663623e-05,0.000642955565362872,0.000647424832421343,0.00735096966246025,0.0795289117721103,0.0798185558085999,0.0869541208795408,0.0894745137450767,0.00726364342047128,0.0098015021289567,1.09125783244901,1.12316015287102,79.6736135641449,88.2061863388589,8.53257277471399,79.5289117721103,79.8185558085999,86.9541208795408,89.4745137450767,7.26364342047128,9.8015021289567,6.49087767488963,10.5742678745384,supp_3lvl_stopped_vs_none
33,1685024,0.079838545663585,0.0894207164536864,0.00958217079010147,1.12001935544365,8.1244253676883e-05,0.000729108005372611,0.000733839366049595,0.00821967253008934,0.0796794548004181,0.0799979265621854,0.0880019507539835,0.0908600766550762,0.00814387206220656,0.0110204695179964,1.10212011787816,1.13820928973105,79.838545663585,89.4207164536864,9.58217079010147,79.6794548004181,79.9979265621854,88.0019507539835,90.8600766550762,8.14387206220656,11.0204695179964,7.26796200061439,11.8963795795886,supp_3lvl_stopped_vs_none
34,1525309,0.0804766494045659,0.091082496348716,0.0106058469441501,1.13178787912545,9.08182697771058e-05,0.000821162496356371,0.000826365093802768,0.00908837306728467,0.0802988283959624,0.0806548296626412,0.089485791128136,0.0927047910096936,0.00898620112221565,0.0122254927660846,1.11180596911824,1.15212891360098,80.4766494045659,91.082496348716,10.6058469441501,80.2988283959625,80.6548296626412,89.485791128136,92.7047910096936,8.98620112221565,12.2254927660846,7.99985242834973,13.2118414599505,supp_3lvl_stopped_vs_none
35,1335627,0.0820750503661451,0.0937079550058767,0.0116329046397316,1.14173496803031,9.91282460595919e-05,0.000894964067950092,0.000900627325851826,0.00962894466875669,0.081880971853282,0.0822695476735484,0.0919685162632191,0.0954768332716839,0.00986770751756944,0.0133981017618938,1.12038975746745,1.1634868388745,82.0750503661451,93.7079550058767,11.6329046397316,81.880971853282,82.2695476735484,91.9685162632191,95.4768332716839,9.86770751756944,13.3981017618938,8.7927194848272,14.4730897946361,supp_3lvl_stopped_vs_none
