lower,upper,lower_closed,upper_closed,kind,classification,model_id,covariance
31.523202405678,34.9348684236546,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_inclusive,model
34.9348684236546,40.0480978339589,FALSE,FALSE,interval,strict_positive,all_years_shared_core_inclusive,model
40.0480978339589,45,TRUE,TRUE,interval,zero_compatible,all_years_shared_core_inclusive,model
15,16.7808040045793,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_live,HC0
16.7808040045793,30.0073640024737,FALSE,FALSE,interval,strict_negative,all_years_shared_augmented_live,HC0
30.0073640024737,33.3004386959485,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_live,HC0
33.3004386959485,40.7830840371999,FALSE,FALSE,interval,strict_positive,all_years_shared_augmented_live,HC0
40.7830840371999,45,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_live,HC0
15,16.7965320809917,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_live,model
16.7965320809917,30.0090421763761,FALSE,FALSE,interval,strict_negative,all_years_shared_augmented_live,model
30.0090421763761,33.2880834184951,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_live,model
33.2880834184951,40.8367567387629,FALSE,FALSE,interval,strict_positive,all_years_shared_augmented_live,model
40.8367567387629,45,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_live,model
15,16.6468448094795,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_inclusive,HC0
16.6468448094795,29.9647795352967,FALSE,FALSE,interval,strict_negative,all_years_shared_augmented_inclusive,HC0
29.9647795352967,33.230770613288,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_inclusive,HC0
33.230770613288,40.7483198130658,FALSE,FALSE,interval,strict_positive,all_years_shared_augmented_inclusive,HC0
40.7483198130658,45,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_inclusive,HC0
15,16.6636634699463,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_inclusive,model
16.6636634699463,29.966423254413,FALSE,FALSE,interval,strict_negative,all_years_shared_augmented_inclusive,model
29.966423254413,33.219018766797,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_inclusive,model
33.219018766797,40.8005089022196,FALSE,FALSE,interval,strict_positive,all_years_shared_augmented_inclusive,model
40.8005089022196,45,TRUE,TRUE,interval,zero_compatible,all_years_shared_augmented_inclusive,model
15,17.3260283471633,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_core_live,HC0
17.3260283471633,30.138490785848,FALSE,FALSE,interval,strict_negative,reporting_years_shared_core_live,HC0
30.138490785848,45,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_core_live,HC0
15,17.3475505568061,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_core_live,model
17.3475505568061,30.1449702529091,FALSE,FALSE,interval,strict_negative,reporting_years_shared_core_live,model
30.1449702529091,45,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_core_live,model
15,17.2575823876173,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_core_inclusive,HC0
17.2575823876173,30.077431535241,FALSE,FALSE,interval,strict_negative,reporting_years_shared_core_inclusive,HC0
30.077431535241,45,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_core_inclusive,HC0
15,17.2798727978587,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_core_inclusive,model
17.2798727978587,30.0836551631731,FALSE,FALSE,interval,strict_negative,reporting_years_shared_core_inclusive,model
30.0836551631731,45,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_core_inclusive,model
15,17.4761002630834,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_live,HC0
17.4761002630834,27.8163068035913,FALSE,FALSE,interval,strict_negative,reporting_years_shared_augmented_live,HC0
27.8163068035913,34.3274187788007,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_live,HC0
34.3274187788007,38.0915867518851,FALSE,FALSE,interval,strict_positive,reporting_years_shared_augmented_live,HC0
