age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000,contrast,covariance,model_id,fit_n
19,60774,0.0822742553811607,0.0712317209482078,-0.0110425344329529,0.865783842323519,0.00102247018295083,0.000625473081964273,0.00120045825761178,0.0152415541032427,0.0802923404344412,0.0843006072778264,0.0700155139024142,0.0724674079433672,-0.0133953893828157,-0.00868967948309014,0.840302860935455,0.892037497996871,82.2742553811607,71.2317209482078,-11.0425344329529,80.2923404344412,84.3006072778264,70.0155139024142,72.4674079433672,-13.3953893828157,-8.68967948309014,-14.8282553682206,-7.25681349768523,primary,model,primary_main,1980559
20,82205,0.0817879541032269,0.0704485966566773,-0.0113393574465496,0.8613566316595,0.00077409867922125,0.000469635173229144,0.000908563476623074,0.0116193977067073,0.0802835108793281,0.0833180353480267,0.0695336678440918,0.0713746406959889,-0.0131201091383993,-0.00955860575469983,0.841962119052657,0.881197894910755,81.7879541032269,70.4485966566773,-11.3393574465496,80.2835108793281,83.3180353480267,69.5336678440918,71.3746406959889,-13.1201091383993,-9.55860575469983,-14.2045697541514,-8.47414513894767,primary,model,primary_main,1980559
21,96740,0.0811574542257124,0.0697691930908622,-0.0113882611348502,0.859676954587837,0.000730902619446625,0.000437305380568333,0.000855620297348271,0.0110256648258508,0.0797363892400194,0.0826015722351307,0.0689169449183674,0.0706311809346999,-0.0130652461020943,-0.00971127616760615,0.841298707728958,0.878456675922431,81.1574542257124,69.7691930908622,-11.3882611348502,79.7363892400194,82.6015722351307,68.9169449183674,70.6311809346999,-13.0652461020943,-9.71127616760615,-14.0865137827643,-8.69000848693611,primary,model,primary_main,1980559
22,110682,0.0798950386384116,0.0687737748757867,-0.0111212637626248,0.860801572260859,0.00071280370407559,0.000424717770025895,0.000833550186928582,0.0109035648703506,0.0785090762414151,0.0813033094260403,0.0679459947048669,0.0696108866348165,-0.0127549921083115,-0.00948753541693818,0.84260090320295,0.879395386344955,79.8950386384116,68.7737748757867,-11.1212637626248,78.5090762414151,81.3033094260403,67.9459947048669,69.6108866348165,-12.7549921083115,-9.48753541693818,-13.7499169234017,-8.49261060184801,primary,model,primary_main,1980559
23,119247,0.0791689137463717,0.068484603575539,-0.0106843101708327,0.865044123188789,0.000654335193161519,0.000390361477606265,0.000765901150514852,0.0100955496643009,0.0778958976019377,0.0804609188557614,0.0677234573566989,0.0692536688723116,-0.0121854488415596,-0.00918317150010581,0.848095800205569,0.88233114098912,79.1689137463717,68.484603575539,-10.6843101708327,77.8958976019377,80.4609188557614,67.7234573566989,69.2536688723117,-12.1854488415596,-9.18317150010581,-13.0996278226251,-8.2689925190403,primary,model,primary_main,1980559
24,125425,0.0788266417563668,0.0687417688593728,-0.010084872896994,0.872062634252975,0.000579155211706947,0.000343434407412495,0.000677870514880947,0.00894844496186249,0.0776989659773534,0.0799692648697898,0.0680716944791072,0.0694179478968374,-0.0114134746923423,-0.00875627110164574,0.85690119459077,0.887492330342037,78.8266417563668,68.7417688593728,-10.084872896994,77.6989659773534,79.9692648697898,68.0716944791072,69.4179478968374,-11.4134746923423,-8.75627110164574,-12.2225803793773,-7.94716541461073,primary,model,primary_main,1980559
25,130505,0.0794706784474189,0.0700915122492028,-0.00937916619821609,0.881979537843989,0.00054339016575538,0.000315265892063463,0.000633535154081953,0.00825756366212807,0.0784121525572127,0.0805422450824949,0.0694761151990231,0.0707119460591786,-0.0106208722831568,-0.00813746011327543,0.867820007595887,0.896370097908289,79.4706784474189,70.0915122492028,-9.37916619821609,78.4121525572127,80.5422450824949,69.4761151990231,70.7119460591786,-10.6208722831568,-8.13746011327543,-11.3770593201373,-7.38127307629488,primary,model,primary_main,1980559
26,131877,0.080672229295141,0.0721487958231359,-0.00852343347200511,0.894344887373548,0.00057273012578624,0.000326343489129591,0.000664967044077704,0.00849577025156314,0.079556799619905,0.0818019080342386,0.0715117832762631,0.0727910378929008,-0.00982674492930347,-0.00722012201470676,0.879576091429001,0.909361663380055,80.6722292951411,72.1487958231359,-8.52343347200511,79.556799619905,81.8019080342387,71.5117832762631,72.7910378929008,-9.82674492930347,-7.22012201470676,-10.6204490442385,-6.42641789977174,primary,model,primary_main,1980559
27,130884,0.0821555590348668,0.0746830582475615,-0.00747250078730537,0.909044489805808,0.000628500779036399,0.000359540014098658,0.000729935248537847,0.00911538626445227,0.0809320986201514,0.0833958364032854,0.0739814218875714,0.0753908071425279,-0.00890314758548584,-0.0060418539891249,0.892947874432857,0.925431268842153,82.1555590348668,74.6830582475615,-7.47250078730537,80.9320986201514,83.3958364032854,73.9814218875714,75.3908071425279,-8.90314758548584,-6.0418539891249,-9.77439769563852,-5.17060387897221,primary,model,primary_main,1980559
28,126880,0.0840864204638171,0.077856699795677,-0.00622972066814011,0.925912880655673,0.000653564736816098,0.00038036114119679,0.000762656204293559,0.00926174437745446,0.0828142866386064,0.0853762768670595,0.0771144658248605,0.0786054693519309,-0.0077244993611415,-0.00473494197513871,0.909256709902382,0.942874166588364,84.0864204638171,77.856699795677,-6.22972066814011,82.8142866386064,85.3762768670595,77.1144658248605,78.6054693519309,-7.7244993611415,-4.73494197513871,-8.63480517707572,-3.82463615920449,primary,model,primary_main,1980559
