lower,upper,lower_closed,upper_closed,kind,model_id,covariance,method
30.6238910660503,32.4058239170972,TRUE,TRUE,interval,all_years_shared_augmented_live,model,pointwise
42.7535609347216,45,TRUE,TRUE,interval,all_years_shared_augmented_live,model,pointwise
15,16.7965320809917,TRUE,TRUE,interval,all_years_shared_augmented_live,model,simultaneous
30.0090421763761,33.2880834184951,TRUE,TRUE,interval,all_years_shared_augmented_live,model,simultaneous
40.8367567387629,45,TRUE,TRUE,interval,all_years_shared_augmented_live,model,simultaneous
30.5816148705754,32.3576045357468,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,HC0,pointwise
42.6149041483482,45,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,HC0,pointwise
15,16.6468448094795,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,HC0,simultaneous
29.9647795352967,33.230770613288,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,HC0,simultaneous
40.7483198130658,45,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,HC0,simultaneous
30.5833977752794,32.3526489741549,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,model,pointwise
42.663312134657,45,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,model,pointwise
15,16.6636634699463,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,model,simultaneous
29.966423254413,33.219018766797,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,model,simultaneous
40.8005089022196,45,TRUE,TRUE,interval,all_years_shared_augmented_inclusive,model,simultaneous
15,15.9964721784191,TRUE,TRUE,interval,reporting_years_shared_core_live,HC0,pointwise
31.0368499605943,34.9996525943258,TRUE,TRUE,interval,reporting_years_shared_core_live,HC0,pointwise
38.4933918081443,45,TRUE,TRUE,interval,reporting_years_shared_core_live,HC0,pointwise
15,17.3260283471633,TRUE,TRUE,interval,reporting_years_shared_core_live,HC0,simultaneous
30.138490785848,45,TRUE,TRUE,interval,reporting_years_shared_core_live,HC0,simultaneous
15,16.0249402323483,TRUE,TRUE,interval,reporting_years_shared_core_live,model,pointwise
31.0416066409241,34.9815714505624,TRUE,TRUE,interval,reporting_years_shared_core_live,model,pointwise
38.5302241808762,45,TRUE,TRUE,interval,reporting_years_shared_core_live,model,pointwise
15,17.3475505568061,TRUE,TRUE,interval,reporting_years_shared_core_live,model,simultaneous
30.1449702529091,45,TRUE,TRUE,interval,reporting_years_shared_core_live,model,simultaneous
15,15.8393234927984,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,HC0,pointwise
30.9678012569266,34.6887311179157,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,HC0,pointwise
38.6419553567402,45,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,HC0,pointwise
15,17.2575823876173,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,HC0,simultaneous
30.077431535241,45,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,HC0,simultaneous
15,15.8698379409834,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,model,pointwise
30.9723228559858,34.6738668723693,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,model,pointwise
38.6751706970601,45,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,model,pointwise
15,17.2798727978587,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,model,simultaneous
30.0836551631731,45,TRUE,TRUE,interval,reporting_years_shared_core_inclusive,model,simultaneous
15,16.1059571749541,TRUE,TRUE,interval,reporting_years_shared_augmented_live,HC0,pointwise
28.8480764489181,31.847944867571,TRUE,TRUE,interval,reporting_years_shared_augmented_live,HC0,pointwise
39.9890701540285,45,TRUE,TRUE,interval,reporting_years_shared_augmented_live,HC0,pointwise
15,17.4761002630834,TRUE,TRUE,interval,reporting_years_shared_augmented_live,HC0,simultaneous
27.8163068035913,34.3274187788007,TRUE,TRUE,interval,reporting_years_shared_augmented_live,HC0,simultaneous
38.0915867518851,45,TRUE,TRUE,interval,reporting_years_shared_augmented_live,HC0,simultaneous
15,16.1231039483471,TRUE,TRUE,interval,reporting_years_shared_augmented_live,model,pointwise
28.8467811308178,31.8409306932386,TRUE,TRUE,interval,reporting_years_shared_augmented_live,model,pointwise
40.0313403155412,45,TRUE,TRUE,interval,reporting_years_shared_augmented_live,model,pointwise
15,17.4883253185642,TRUE,TRUE,interval,reporting_years_shared_augmented_live,model,simultaneous
27.8147805865645,34.2769843625786,TRUE,TRUE,interval,reporting_years_shared_augmented_live,model,simultaneous
38.1598295280427,45,TRUE,TRUE,interval,reporting_years_shared_augmented_live,model,simultaneous
15,15.9513599703423,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,HC0,pointwise
28.7876578268867,31.7323667451831,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,HC0,pointwise
39.9565227561907,45,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,HC0,pointwise
15,17.4095777449861,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,HC0,simultaneous
27.7617644701178,33.9688049269122,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,HC0,simultaneous
38.1398748956579,45,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,HC0,simultaneous
15,15.9693210391558,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,model,pointwise
28.7863570371836,31.726170027509,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,model,pointwise
39.9969998051304,45,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,model,pointwise
15,17.4219080704607,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,model,simultaneous
27.7602479176519,33.9244359247785,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,model,simultaneous
38.2037086382229,45,TRUE,TRUE,interval,reporting_years_shared_augmented_inclusive,model,simultaneous
30.8571988001412,32.8962944100525,TRUE,TRUE,interval,age_spec_fewer_age_knots,HC0,pointwise
15,15.9238457148392,TRUE,TRUE,interval,age_spec_fewer_age_knots,HC0,simultaneous
30.4059204063956,33.630001607112,TRUE,TRUE,interval,age_spec_fewer_age_knots,HC0,simultaneous
42.928805569963,45,TRUE,TRUE,interval,age_spec_fewer_age_knots,HC0,simultaneous
30.8615156937407,32.8911429296568,TRUE,TRUE,interval,age_spec_fewer_age_knots,model,pointwise
15,15.9339624457434,TRUE,TRUE,interval,age_spec_fewer_age_knots,model,simultaneous
30.4122217031562,33.6211623429611,TRUE,TRUE,interval,age_spec_fewer_age_knots,model,simultaneous
43.0478635175617,45,TRUE,TRUE,interval,age_spec_fewer_age_knots,model,simultaneous
31.0062474547287,32.8498776407702,TRUE,TRUE,interval,age_spec_shifted_age_knots,HC0,pointwise
42.529841629298,45,TRUE,TRUE,interval,age_spec_shifted_age_knots,HC0,pointwise
15,15.9352836315419,TRUE,TRUE,interval,age_spec_shifted_age_knots,HC0,simultaneous
30.3485886551886,33.7953803460896,TRUE,TRUE,interval,age_spec_shifted_age_knots,HC0,simultaneous
40.7312625151393,45,TRUE,TRUE,interval,age_spec_shifted_age_knots,HC0,simultaneous
31.0084205381556,32.843682344413,TRUE,TRUE,interval,age_spec_shifted_age_knots,model,pointwise
42.5706448748915,45,TRUE,TRUE,interval,age_spec_shifted_age_knots,model,pointwise
15,15.9577503111282,TRUE,TRUE,interval,age_spec_shifted_age_knots,model,simultaneous
30.3510089989053,33.7785391090754,TRUE,TRUE,interval,age_spec_shifted_age_knots,model,simultaneous
40.7759881673675,45,TRUE,TRUE,interval,age_spec_shifted_age_knots,model,simultaneous
15,16.0919836623417,TRUE,TRUE,interval,age_spec_more_age_knots,HC0,pointwise
30.9697816740873,32.9480054236814,TRUE,TRUE,interval,age_spec_more_age_knots,HC0,pointwise
42.3150379286027,45,TRUE,TRUE,interval,age_spec_more_age_knots,HC0,pointwise
15,17.1704818624271,TRUE,TRUE,interval,age_spec_more_age_knots,HC0,simultaneous
30.1212479493,33.9849255788154,TRUE,TRUE,interval,age_spec_more_age_knots,HC0,simultaneous
40.4981527709023,45,TRUE,TRUE,interval,age_spec_more_age_knots,HC0,simultaneous
15,16.1104335138691,TRUE,TRUE,interval,age_spec_more_age_knots,model,pointwise
30.9716019070782,32.9432444729135,TRUE,TRUE,interval,age_spec_more_age_knots,model,pointwise
42.3459690743863,45,TRUE,TRUE,interval,age_spec_more_age_knots,model,pointwise
15,17.185585796999,TRUE,TRUE,interval,age_spec_more_age_knots,model,simultaneous
30.1237665315897,33.9669159634418,TRUE,TRUE,interval,age_spec_more_age_knots,model,simultaneous
40.5369669240484,45,TRUE,TRUE,interval,age_spec_more_age_knots,model,simultaneous
15,15.1593709478017,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,HC0,pointwise
31.0179561756798,32.9001827764281,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,HC0,pointwise
42.8241466345582,45,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,HC0,pointwise
15,16.5860615617211,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,HC0,simultaneous
30.447233233939,33.9297359065573,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,HC0,simultaneous
40.6712148237542,45,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,HC0,simultaneous
15,15.1929157468085,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,model,pointwise
31.0208420733747,32.895034789447,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,model,pointwise
42.8543054834689,45,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,model,pointwise
15,16.6139349829021,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,model,simultaneous
30.451093882218,33.9192068274425,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,model,simultaneous
40.7037342417034,45,TRUE,TRUE,interval,age_spec_age_by_bmi_nuisance,model,simultaneous
