model_id,label,contrast_group,family,covariance,fit_n,reference_n,fitted_null_ages,n_isolated_roots,has_zero_intervals,unique_regular_interior_root,full_95_fixed_null_age_set,fixed_null_age_set_components,full_95_simultaneous_outer_set,simultaneous_outer_set_components,simultaneous_strict_negative_intervals,simultaneous_strict_positive_intervals,simultaneous_reversal,omnibus_age_interaction_statistic,omnibus_df,omnibus_p,omnibus_log_p,age_knots,comparison,formula
all_years_shared_core_inclusive,all_years shared_core inclusive,within_prepregnancy_smokers,original_16_models,HC0,1374141,1364033,32.820250,1,FALSE,TRUE,"[32.014, 33.893] U [41.809, 45.000]",2,"[15.000, 16.614] U [31.517, 34.947] U [40.013, 45.000]",3,"(16.614, 31.517)","(34.947, 40.013)",TRUE,187.634713036538,4,1.70815627423997e-39,-89.2654040401302,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
all_years_shared_core_inclusive,all_years shared_core inclusive,within_prepregnancy_smokers,original_16_models,model,1374141,1364033,32.820250,1,FALSE,TRUE,"[32.018, 33.887] U [41.837, 45.000]",2,"[15.000, 16.639] U [31.523, 34.935] U [40.048, 45.000]",3,"(16.639, 31.523)","(34.935, 40.048)",TRUE,188.913623199696,4,9.07266485290487e-40,-89.8981376892068,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
all_years_shared_augmented_live,all_years shared_augmented live,within_prepregnancy_smokers,original_16_models,HC0,1332087,1332087,31.459703,1,FALSE,TRUE,"[30.622, 32.411] U [42.703, 45.000]",2,"[15.000, 16.781] U [30.007, 33.300] U [40.783, 45.000]",3,"(16.781, 30.007)","(33.300, 40.783)",TRUE,174.503667973254,4,1.1291033684153e-36,-82.7716395093112,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
all_years_shared_augmented_live,all_years shared_augmented live,within_prepregnancy_smokers,original_16_models,model,1332087,1332087,31.459703,1,FALSE,TRUE,"[30.624, 32.406] U [42.754, 45.000]",2,"[15.000, 16.797] U [30.009, 33.288] U [40.837, 45.000]",3,"(16.797, 30.009)","(33.288, 40.837)",TRUE,175.850215246249,4,5.80276974471364e-37,-83.4373130950223,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
all_years_shared_augmented_inclusive,all_years shared_augmented inclusive,within_prepregnancy_smokers,original_16_models,HC0,1341042,1332087,31.417095,1,FALSE,TRUE,"[30.582, 32.358] U [42.615, 45.000]",2,"[15.000, 16.647] U [29.965, 33.231] U [40.748, 45.000]",3,"(16.647, 29.965)","(33.231, 40.748)",TRUE,173.987149577525,4,1.45754331437935e-36,-82.5163109907142,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
all_years_shared_augmented_inclusive,all_years shared_augmented inclusive,within_prepregnancy_smokers,original_16_models,model,1341042,1332087,31.417095,1,FALSE,TRUE,"[30.583, 32.353] U [42.663, 45.000]",2,"[15.000, 16.664] U [29.966, 33.219] U [40.801, 45.000]",3,"(16.664, 29.966)","(33.219, 40.801)",TRUE,175.311213015901,4,7.57460501294226e-37,-83.1708472342498,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
reporting_years_shared_core_live,reporting_years shared_core live,within_prepregnancy_smokers,original_16_models,HC0,793570,793570,32.393257; 43.427203,2,FALSE,FALSE,"[15.000, 15.996] U [31.037, 35.000] U [38.493, 45.000]",3,"[15.000, 17.326] U [30.138, 45.000]",2,"(17.326, 30.138)",Empty,FALSE,95.7183283796742,4,8.01632132907807e-20,-43.970222230379,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
reporting_years_shared_core_live,reporting_years shared_core live,within_prepregnancy_smokers,original_16_models,model,793570,793570,32.393257; 43.427203,2,FALSE,FALSE,"[15.000, 16.025] U [31.042, 34.982] U [38.530, 45.000]",3,"[15.000, 17.348] U [30.145, 45.000]",2,"(17.348, 30.145)",Empty,FALSE,96.2385591134931,4,6.21318669587372e-20,-44.2250279400196,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
reporting_years_shared_core_inclusive,reporting_years shared_core inclusive,within_prepregnancy_smokers,original_16_models,HC0,799442,793570,32.287885; 43.315802,2,FALSE,FALSE,"[15.000, 15.839] U [30.968, 34.689] U [38.642, 45.000]",3,"[15.000, 17.258] U [30.077, 45.000]",2,"(17.258, 30.077)",Empty,FALSE,96.3455306693995,4,5.89601350432739e-20,-44.2774254145746,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
reporting_years_shared_core_inclusive,reporting_years shared_core inclusive,within_prepregnancy_smokers,original_16_models,model,799442,793570,32.287885; 43.315802,2,FALSE,FALSE,"[15.000, 15.870] U [30.972, 34.674] U [38.675, 45.000]",3,"[15.000, 17.280] U [30.084, 45.000]",2,"(17.280, 30.084)",Empty,FALSE,96.8665704756526,4,4.56784074968592e-20,-44.5326612502877,"21,27,35",Shared live reference within tier/period; root differences descriptive here; overlapping fits not independent,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
