target,age,anchor,assumed_sensitivity_A0,assumed_common_specificity,required_sensitivity_A1,required_A1_to_A0_sensitivity_ratio,valid
age_28,28,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.208089548145595,0.921539427501921,TRUE
age_29,29,nchs_2013_state_a,0.5,0.962686567164179,0.455006343983324,0.910012687966647,TRUE
age_29,29,nchs_2013_state_b,0.2,0.985106382978723,0.187590349899455,0.937951749497274,TRUE
age_29,29,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.212559489723607,0.941334883061689,TRUE
age_30,30,nchs_2013_state_a,0.5,0.962686567164179,0.471272262697204,0.942544525394408,TRUE
age_30,30,nchs_2013_state_b,0.2,0.985106382978723,0.19196424195589,0.95982120977945,TRUE
age_30,30,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.21720249600638,0.961896768028254,TRUE
age_31,31,nchs_2013_state_a,0.5,0.962686567164179,0.487197010957359,0.974394021914717,TRUE
age_31,31,nchs_2013_state_b,0.2,0.985106382978723,0.196367274149348,0.981836370746738,TRUE
age_31,31,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.221904709531061,0.982720856494697,TRUE
age_32,32,nchs_2013_state_a,0.5,0.962686567164179,0.502250998499072,1.00450199699814,TRUE
age_32,32,nchs_2013_state_b,0.2,0.985106382978723,0.200649138919328,1.00324569459664,TRUE
age_32,32,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.226506183953537,1.00309881465138,TRUE
age_33,33,nchs_2013_state_a,0.5,0.962686567164179,0.515891197642571,1.03178239528514,TRUE
age_33,33,nchs_2013_state_b,0.2,0.985106382978723,0.204647565617499,1.02323782808749,TRUE
age_33,33,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.230832254320938,1.02225712627844,TRUE
age_34,34,nchs_2013_state_a,0.5,0.962686567164179,0.527625231328493,1.05525046265699,TRUE
age_34,34,nchs_2013_state_b,0.2,0.985106382978723,0.208198321828648,1.04099160914324,TRUE
age_34,34,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.234701972637264,1.03939445025074,TRUE
age_35,35,nchs_2013_state_a,0.5,0.962686567164179,0.537094776274223,1.07418955254845,TRUE
age_35,35,nchs_2013_state_b,0.2,0.985106382978723,0.211163147275862,1.05581573637931,TRUE
age_35,35,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.23795868917622,1.05381705206612,TRUE
age_36,36,nchs_2013_state_a,0.5,0.962686567164179,0.54378826511549,1.08757653023098,TRUE
age_36,36,nchs_2013_state_b,0.2,0.985106382978723,0.213385784817299,1.0669289240865,TRUE
age_36,36,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.240433080346924,1.06477507010781,TRUE
age_37,37,nchs_2013_state_a,0.5,0.962686567164179,0.548166397007636,1.09633279401527,TRUE
age_37,37,nchs_2013_state_b,0.2,0.985106382978723,0.214942421966464,1.07471210983232,TRUE
age_37,37,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.24219273444508,1.07256782397107,TRUE
age_38,38,nchs_2013_state_a,0.5,0.962686567164179,0.550501107531814,1.10100221506363,TRUE
age_38,38,nchs_2013_state_b,0.2,0.985106382978723,0.215889011579694,1.07944505789847,TRUE
age_38,38,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.243291875267769,1.07743544761441,TRUE
age_39,39,nchs_2013_state_a,0.5,0.962686567164179,0.551358463875057,1.10271692775011,TRUE
age_39,39,nchs_2013_state_b,0.2,0.985106382978723,0.216357024506026,1.08178512253013,TRUE
age_39,39,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.243862421810758,1.07996215373336,TRUE
age_40,40,nchs_2013_state_a,0.5,0.962686567164179,0.550736525484667,1.10147305096933,TRUE
age_40,40,nchs_2013_state_b,0.2,0.985106382978723,0.216375217673634,1.08187608836817,TRUE
age_40,40,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.24394426745437,1.08032461301221,TRUE
age_41,41,nchs_2013_state_a,0.5,0.962686567164179,0.549126638937093,1.09825327787419,TRUE
age_41,41,nchs_2013_state_b,0.2,0.985106382978723,0.216042242359209,1.08021121179604,TRUE
age_41,41,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.243629721436278,1.07893162350352,TRUE
age_42,42,nchs_2013_state_a,0.5,0.962686567164179,0.54696995329032,1.09393990658064,TRUE
age_42,42,nchs_2013_state_b,0.2,0.985106382978723,0.215494472559439,1.0774723627972,TRUE
age_42,42,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.243067376396933,1.07644123832927,TRUE
age_43,43,nchs_2013_state_a,0.5,0.962686567164179,0.544484893055978,1.08896978611196,TRUE
age_43,43,nchs_2013_state_b,0.2,0.985106382978723,0.214810249686675,1.07405124843337,TRUE
age_43,43,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.242345777549923,1.07324558629252,TRUE
age_44,44,nchs_2013_state_a,0.5,0.962686567164179,0.541396216912457,1.08279243382491,TRUE
age_44,44,nchs_2013_state_b,0.2,0.985106382978723,0.213917288523412,1.06958644261706,TRUE
age_44,44,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.241389739899394,1.06901170526874,TRUE
age_45,45,nchs_2013_state_a,0.5,0.962686567164179,0.539656449229673,1.07931289845935,TRUE
age_45,45,nchs_2013_state_b,0.2,0.985106382978723,0.213308061061249,1.06654030530624,TRUE
age_45,45,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.240700181526886,1.06595794676193,TRUE
